time,life,sumv,extsumv,InsCurrent,AvgCurrent,soc,soh,maxv,maxv_no,minv,minv_no,maxt,maxt_no,mint,mint_no,posRelay,negRelay,preRelay,chgRelay,heatRelay,fanRelay,di1,di2,di3,di4,do1,do2,ai1,ai2,cc,cc2,cp,supplyVoltage,batErrCode,hdErrCode,otherErrCode,batSysErrCode,inAh,outAh,chg_sgnl_state,chg_state,chg_step,charger_state,chg_max_pmt_cur,chg_cur_step,max_pmt_chgt,max_pmt_chg_sumV,max_pmt_chg_cellV,chg_output_sumv,chg_output_cur,total_chg_time,rest_chg_time,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,TNum_BMU1,
14-15-24,84,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-25,104,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-26,121,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-27,145,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-28,164,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-29,184,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-30,205,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-31,226,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-32,246,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-33,9,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-34,30,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-35,51,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-36,72,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-37,91,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
