time,life,sumv,extsumv,InsCurrent,AvgCurrent,soc,soh,maxv,maxv_no,minv,minv_no,maxt,maxt_no,mint,mint_no,posRelay,negRelay,preRelay,chgRelay,heatRelay,fanRelay,di1,di2,di3,di4,do1,do2,ai1,ai2,cc,cc2,cp,supplyVoltage,batErrCode,hdErrCode,otherErrCode,batSysErrCode,inAh,outAh,chg_sgnl_state,chg_state,chg_step,charger_state,chg_max_pmt_cur,chg_cur_step,max_pmt_chgt,max_pmt_chg_sumV,max_pmt_chg_cellV,chg_output_sumv,chg_output_cur,total_chg_time,rest_chg_time,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,BMU1_V1,BMU1_V2,BMU1_V3,BMU1_V4,BMU1_V5,BMU1_V6,BMU1_V7,BMU1_V8,BMU1_V9,BMU1_V10,BMU1_V11,BMU1_V12,BMU1_V13,BMU1_V14,BMU1_V15,BMU1_V16,BMU1_V17,BMU1_V18,BMU1_V19,BMU1_V20,BMU1_V21,BMU1_V22,BMU1_V23,BMU1_V24,BMU1_V25,BMU1_V26,BMU1_V27,BMU1_V28,BMU1_V29,BMU1_V30,BMU1_V31,BMU1_V32,BMU1_V33,BMU1_V34,BMU1_V35,BMU1_V36,BMU1_V37,BMU1_V38,BMU1_V39,BMU1_V40,BMU1_V41,BMU1_V42,BMU1_V43,BMU1_V44,BMU1_V45,BMU1_V46,TNum_BMU1,BMU1_T1,BMU1_T2,BMU1_T3,BMU1_T4,BMU1_T5,Sumv_BMU2,HeatRelay_BMU2,FanRelay_BMU2,VNum_BMU2,TNum_BMU2,
8-48-42,160,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-43,179,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-44,200,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-45,220,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-46,240,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-47,5,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-48,25,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-49,44,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-50,64,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
8-48-51,85,0,1,419.7,419.4,0,99.8,0,0,0,1,81,2,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,cc00c3c000000000,0a00000300000000,0000000000000000,0000000000000000,106885,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,81,211,211,211,0,0,0,0,0,
